Depth_m	Gas_Age_AD	CH4_ppb
89.92106028	1616.8086	690.6065005
89.92178002	1616.802	690.8088056
89.92249978	1616.7954	688.0582623
89.92321013	1616.7888	684.7507549
89.92390989	1616.7822	683.5449699
89.92461025	1616.7756	686.7310086
89.92531	1616.769	688.8939573
89.92599976	1616.7624	679.0516233
89.92669011	1616.7558	679.8920877
89.92738987	1616.7492	683.4591558
89.92808021	1616.7426	685.6952543
89.92875998	1616.736	686.678858
89.92943974	1616.7294	683.4505779
89.93013009	1616.7228	678.5200805
89.93081985	1616.7162	684.1189047
89.9315102	1616.7096	687.5977624
89.93219996	1616.703	684.2551793
89.93288972	1616.6964	690.4783061
89.93358006	1616.6898	689.4730203
89.93425983	1616.6832	682.5293003
89.93495017	1616.6766	688.3700316
89.93563993	1616.67	688.2857919
89.93632028	1616.6634	687.9703182
89.93700004	1616.6568	690.0659052
89.93768981	1616.6502	695.4088729
89.93838015	1616.6436	682.3443248
89.93906992	1616.637	688.9898774
89.93976026	1616.6304	688.3683068
89.94044003	1616.6238	693.0052557
89.94112978	1616.6172	688.5684355
89.94182014	1616.6106	685.4387033
89.94250989	1616.604	691.5912502
89.94321024	1616.5974	689.0995732
89.94391	1616.5908	683.3658519
89.94459976	1616.5842	684.3467468
89.94528011	1616.5776	678.4574303
89.94595987	1616.571	681.3936321
89.94664022	1616.5644	678.1597029
89.94732998	1616.5578	676.322739
89.94801974	1616.5512	675.6230292
89.94871009	1616.5446	682.0326365
89.94939985	1616.538	678.331771
89.9500902	1616.5314	677.4339699
89.95077996	1616.5248	685.302776
89.95146972	1616.5182	677.1673708
89.95217006	1616.5116	684.5140108
89.95286982	1616.505	683.9342069
89.95357018	1616.4984	682.70586
89.95426994	1616.4918	691.1374298
89.95497028	1616.4852	701.0214959
89.95566005	1616.4786	691.4322748
89.9563498	1616.472	696.1323486
89.95704016	1616.4654	695.5639241
89.95771991	1616.4588	691.9594996
89.95840027	1616.4522	696.145036
89.95909002	1616.4456	698.9710559
89.95977978	1616.439	699.0213196
89.96047013	1616.4324	687.9356823
89.96116989	1616.4258	688.0015854
89.96187025	1616.4192	689.7524573
89.96258	1616.4126	692.6528194
89.96328975	1616.406	689.5997214
90.13100011	1615.3	686.686313
90.13169987	1615.2944	685.8029821
90.13240022	1615.2888	684.5572362
90.13308998	1615.2832	686.0800576
90.13377974	1615.2776	684.8449734
90.13447009	1615.272	683.3322
90.13513985	1615.2664	682.3901201
90.1358102	1615.2608	689.7137929
90.13647996	1615.2552	681.8860128
90.13714972	1615.2496	681.5324882
90.13783007	1615.244	684.7446196
90.13851982	1615.2384	680.5176289
90.13921018	1615.2328	689.6509807
90.13988993	1615.2272	685.1146286
90.14057029	1615.2216	686.2247597
90.14125004	1615.216	689.8551611
90.14193981	1615.2104	684.8345432
90.14263015	1615.2048	686.1718451
90.14330992	1615.1992	686.8816955
90.14399026	1615.1936	693.0484348
90.20121018	1614.8	682.4107719
90.2020099	1614.7934	687.2394454
90.2028003	1614.7868	686.4700124
90.20358002	1614.7802	683.7505163
90.20435975	1614.7736	694.2219455
90.20514015	1614.767	691.9935336
90.20591987	1614.7604	696.1866871
90.20670027	1614.7538	682.6103335
90.20748	1614.7472	693.2817525
90.20825973	1614.7406	693.9664595
90.20904013	1614.734	688.3945152
90.20981985	1614.7274	683.6255516
90.21061026	1614.7208	687.79186
90.21140997	1614.7142	675.0713439
90.21220969	1614.7076	679.3230149
90.21300009	1614.701	683.1338771
90.21377983	1614.6944	683.2810912
90.21456022	1614.6878	683.7263685
90.21533995	1614.6812	683.9968108
90.21611967	1614.6746	688.4937461
